quantities,units,ingredients
16,ounce,"ounce) packages reduced-fat cream cheese (neufchâtel), softened"
1,units,"avocado, peeled, seeded, and mashed until smooth (1/2 cup)"
2,cups,fat-free plain greek-style yogurt
2,tablespoons,cornstarch
0.75,cup,granulated sugar
2,units,large egg whites
1,teaspoon,almond extract
0.125,teaspoon,salt
0.25,cup,whipping cream
2,tablespoons,powdered sugar
1,teaspoon,vanilla extract
16,ounce,"ounce) container frozen nondairy low-fat whipped topping, thawed, plus more for garnish"
